X.ZTIME,LON,LAT,WSR_ID,CELL_ID,RANGE,AZIMUTH,SEVPROB,PROB,MAXSIZE
20150110174155,-102.40824,32.27873,KMAF,O0,23,331,100,100,4
20150110174155,-102.24817,31.98681,KMAF,P0,4,311,100,100,4
20150112001826,-88.76282,28.94756,KLIX,Q0,100,146,90,100,1.75
20150118225223,-121.91278,47.25829,KATX,C3,61,157,90,90,0.75
20150120134019,-102.3321,31.82903,KMAF,B0,10,227,90,100,1.75
20150120134019,-102.5995,31.9668,KMAF,A0,21,274,100,100,2.25
20150121045848,-77.18722,32.90717,KMHX,A0,113,188,90,90,1
20150121050843,-77.33964,32.75899,KMHX,C0,123,191,100,100,1.5
20150121050843,-77.06581,32.94617,KMHX,A0,110,185,100,100,1.75
20150121051340,-77.29121,32.78554,KMHX,C0,121,190,100,100,1.25
20150121051340,-77.06581,32.94617,KMHX,A0,110,185,100,100,1.25
20150121051838,-76.75595,32.84169,KMHX,H0,116,177,90,90,1
20150121051838,-77.06581,32.94617,KMHX,A0,110,185,90,90,1
20150121051838,-77.28786,32.80201,KMHX,C0,120,190,100,100,1.75
20150121052219,-77.23528,32.82383,KLTX,C0,92,139,90,100,1.25
20150121052335,-77.02791,32.94371,KMHX,A0,110,184,90,90,1
20150121052335,-76.75696,32.85837,KMHX,H0,115,177,100,100,1.5
20150121052832,-76.67944,32.87959,KMHX,H0,114,175,100,100,1.25
20150121052832,-76.98896,32.95847,KMHX,A0,109,183,100,100,1.5
20150121053329,-76.95132,32.95712,KMHX,A0,109,182,90,90,1
20150121053329,-77.20067,32.82442,KMHX,L0,118,188,90,90,1.25
20150121053329,-76.05266,33.29029,KMHX,M0,98,155,100,100,1.25
20150121053827,-76.6443,32.91594,KMHX,H0,112,174,90,90,1.25
20150121054324,-76.46402,32.98877,KMHX,Q0,109,169,90,100,1
20150121054324,-77.15558,32.85321,KMHX,L0,116,187,100,100,1.25
20150121054659,-76.4549,33.01297,KLTX,S0,115,120,90,100,1.25
20150121054822,-76.91028,33.12332,KMHX,A1,99,181,90,90,1
20150121054822,-76.876,32.97274,KMHX,A0,108,180,90,100,1
20150121054822,-76.43109,33.01133,KMHX,Q0,108,168,100,100,1.25
20150121054822,-77.15558,32.85321,KMHX,L0,116,187,100,100,1.5
20150121055156,-76.41749,33.03344,KLTX,S0,116,119,90,100,1.25
20150121055156,-76.83109,32.96366,KLTX,N0,101,127,100,100,1.5
20150121055319,-76.84172,33.12332,KMHX,A1,99,179,90,90,1
20150121055319,-76.39896,33.0343,KMHX,Q0,107,167,90,100,1
20150121055319,-76.80068,32.95712,KMHX,A0,109,178,100,100,1.5
20150121055319,-77.11377,32.86608,KMHX,L0,115,186,100,100,1.5
20150121055652,-76.40035,33.02505,KLTX,S0,117,119,90,100,1
20150121055652,-76.61762,32.98434,KLTX,G0,109,123,90,100,1
20150121055652,-76.79403,32.97701,KLTX,N0,102,126,100,100,1.5
20150121055816,-75.77402,33.40068,KMHX,Z0,99,146,90,100,1
20150121055816,-76.58096,33.00647,KMHX,I1,107,172,90,100,1
20150121055816,-76.36292,33.04143,KMHX,Q0,107,166,100,100,1.25
20150121055816,-76.80135,32.97381,KMHX,A0,108,178,100,100,1.5
20150121055816,-77.11579,32.84947,KMHX,L0,116,186,100,100,1.5
20150121060148,-76.75704,32.99114,KLTX,N0,103,125,100,100,1.25
20150121060148,-76.5968,33.01083,KLTX,G0,109,122,100,100,1.5
20150121060313,-75.71723,33.43325,KMHX,Z0,99,144,90,100,1
