ID,Source,TMC,Severity,Start_Time,End_Time,LAT,LON,End_Lat,End_Lng,Distance(mi),Description,Number,Street,Side,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
A-512429,MapQuest,201.0,4,2020-12-31 21:16:05,2020-12-31 22:35:28,39.015305,-77.004623,,,1.04999995232,Left lane closed due to accident on I-495 Capital Beltway clockwise from US-29 Colesville Rd to MD-193 University Blvd.,,Capital Beltway W,R,Silver Spring,Montgomery,MD,20901,US,US/Eastern,KCGS,2020-12-31 21:15:00,40.0,33.0,57.0,30.33,10.0,N,12.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-512478,MapQuest,201.0,4,2020-12-31 19:44:18,2020-12-31 21:06:33,40.99749,-81.995872,,,8.97999954224,Right lane blocked due to accident on I-71 Southbound from Exit 209A-B I-76 Exit 1A to Exit 204 OH-83 Avon Lake Rd.,,I-71 S,R,Burbank,Medina,OH,44214,US,US/Eastern,KBJJ,2020-12-31 19:56:00,30.0,30.0,72.0,29.14,10.0,CALM,0.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-512692,MapQuest,245.0,4,2020-12-31 00:26:48,2020-12-31 02:06:44,34.653034,-84.983856,,,4.30000019073,Two lanes blocked due to accident on I-75 Southbound from Exit 328 GA-3-CONN Dalton Byp to Exit 326 Carbondale Rd.,,GA-401 S,R,Dalton,Whitfield,GA,30721,US,US/Eastern,KDNN,2020-12-31 00:35:00,48.0,48.0,87.0,29.38,7.0,CALM,0.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-512766,MapQuest,245.0,4,2020-12-31 04:42:33,2020-12-31 10:01:33,30.314795,-81.769844,,,2.17000007629,Two lanes blocked due to accident on I-10 Eastbound from Ramona Blvd to I-295.,,FL-8 E,R,Jacksonville,Duval,FL,32254,US,US/Eastern,KNIP,2020-12-31 04:53:00,64.0,64.0,90.0,30.07,10.0,S,8.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-512771,MapQuest,241.0,4,2020-12-31 07:42:22,2020-12-31 10:12:55,30.31468,-81.792435,,,5.44000005722,Lane blocked due to accident on I-10 Eastbound between Exit 351 CR-115C Chaffee Rd and Exit 355 Hammond Blvd.,,FL-8 E,R,Jacksonville,Duval,FL,32221,US,US/Eastern,KVQQ,2020-12-31 07:50:00,64.0,64.0,88.0,30.03,10.0,SSE,7.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-512795,MapQuest,201.0,4,2020-12-31 00:44:26,2020-12-31 01:13:01,33.624279,-84.488785,,,0.0,Main roadway closed due to accident on I-285 Southbound at I-85.,,GA-407 E,R,Atlanta,Fulton,GA,30349,US,US/Eastern,KATL,2020-12-31 00:52:00,46.0,42.0,79.0,29.05,10.0,E,8.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-512986,MapQuest,343.0,4,2020-12-31 05:19:16,2020-12-31 07:19:44,30.44519,-97.667679,,,2.1400001049,Earlier accident on I-35 Southbound between Scarbrough Dr and Cheddar Loop Rd. All lanes have been re-opened.,,I-35 S,R,Pflugerville,Travis,TX,78660,US,US/Central,KEDC,2020-12-31 05:15:00,39.0,28.0,100.0,29.13,2.0,N,25.0,0.0,Rain / Windy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
